2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
201-240;;Brunel University London;United Kingdom;47,6;56,7;81,2;77,1;
201-240;201-230;City, University of London;United Kingdom;49,6;64,9;76,7;74,6;
201-240;;École Nationale Supérieure des Mines de Saint-Etienne (EMSE);France;55,8;66,4;76,3;65,2;
201-240;;Emory University;United States;50,5;61;79,3;71,8;
201-240;201-230;Florida State University;United States;53,3;59,3;76,1;69,8;
201-240;;King Saud University;Saudi Arabia;57,4;63,1;62,4;64;
201-240;;Macquarie University;Australia;52,2;64,4;74,9;67,6;
201-240;201-230;National Technical University of Athens;Greece;53,4;65,2;70,4;69,8;
201-240;151-200;National Yang Ming Chiao Tung University;Taiwan;59,4;68,5;67,9;64;
201-240;201-230;Queen Mary University of London;United Kingdom;46;61,6;86,6;82,2;
201-240;201-230;RMIT University;Australia;50,9;68,8;81,4;72,7;
201-240;151-200;Saint Petersburg State University;Russia;56,6;73,1;69,2;64;
201-240;;Shanghai University of Finance and Economics;China (Mainland);58,6;42,7;76,4;68,7;
201-240;;Sharif University of Technology;Iran, Islamic Republic of;61,8;47,8;73,5;65,2;
201-240;201-230;Simon Fraser University;Canada;53,6;59,8;74,7;67,6;
201-240;;Singapore Management University;Singapore;52,9;64,9;76,5;64;
201-240;201-230;The University of Arizona;United States;50;63,9;78,8;71,8;
201-240;201-230;Tohoku University;Japan;59,7;63,8;71;59,8;
201-240;;Universidad Nacional de Colombia;Colombia;57,7;72,6;60,5;61,2;
201-240;201-230;Universidade Federal de Pernambuco (UFPE) ;Brazil;53,5;36,4;78,1;80,1;
201-240;151-200;Université Claude Bernard Lyon 1;France;49,2;41,2;82,8;81,5;
201-240;201-230;Université du Québec;Canada;48,9;46,3;84,6;80,1;
201-240;;University of Bern;Switzerland;53;57,3;72,7;72,7;
201-240;151-200;University of Bordeaux;France;51,9;50,7;78,1;75,4;
201-240;201-230;University of Calgary;Canada;53,8;68,7;73,9;70,8;
201-240;201-230;University of California, Irvine;United States;51;59,8;81,1;73,7;
201-240;;University of Delhi;India;54,2;67;72,8;71,8;
201-240;201-230;University of Florence;Italy;57,8;53,6;72,9;66,4;
201-240;201-230;University of Massachusetts Amherst;United States;54,8;64,2;76,7;68,7;
201-240;151-200;University of Naples - Federico II;Italy;53;60,6;77,8;74,6;
201-240;151-200;University of Southern Denmark (SDU);Denmark;43,9;54;89,4;82,2;
201-240;;University of Trento;Italy;50,5;65,5;77,5;66,4;
201-240;151-200;University of Twente;Netherlands;50,9;64,8;76,1;73,7;
201-240;;University of York;United Kingdom;55,6;61,5;71,6;65,2;
201-240;;Waseda University;Japan;56,2;69,9;62,1;64;
201-240;201-230;Washington University in St. Louis;United States;49,4;60,5;84,3;75,4;
201-240;201-230;Xiamen University;China (Mainland);52,8;51,5;80,9;74,6;
201-240;;York University;Canada;45,6;57,7;88,2;71,8;
