2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
301-330;251-300;University of Dhaka;Bangladesh;54,9;64,3;46,6;48,8;
301-330;;University of International Business and Economics;China (Mainland);55,6;42;78,7;87,1;
301-330;;University of Kentucky;United States;48,8;54,6;76,9;76,5;
301-330;;University of Massachusetts Boston;United States;50,7;52,1;77,5;80,2;
301-330;;University of Oregon;United States;51,3;54,1;79,8;71,1;
301-330;251-300;University of Pittsburgh;United States;52,6;55,6;69,2;72,2;
301-330;251-300;University of Porto;Portugal;56,7;55,7;59,8;62,8;
301-330;;University of South Florida;United States;54,6;51,6;67;71,1;
301-330;301-320;University of Surrey;United Kingdom;51,4;55;67,8;71,1;
301-330;251-300;University of Warsaw ;Poland;59,7;60,7;43,8;48,8;
301-330;251-300;Uppsala University;Sweden;57;56,9;59,6;55,7;
301-330;;Vanderbilt University;United States;50,5;56,4;70,9;71,1;
301-330;;Zayed University;United Arab Emirates;51,2;61,7;58,1;64,4;
